wl.nm,irrad.W_m2_nm,flux.photon_m2_nm_s,irrad.mW_cm2_nm,flux.mA_cm2_nm
670,1.4196,4.78811E+18,0.14196,0.07528432
671,1.4169,4.78614E+18,0.14169,0.075253284
672,1.3972,4.72663E+18,0.13972,0.074317585
673,1.4094,4.77499E+18,0.14094,0.075078065
674,1.4074,4.7753E+18,0.14074,0.075082925
675,1.3958,4.74297E+18,0.13958,0.074574561
676,1.412,4.80513E+18,0.1412,0.075551855
677,1.3991,4.76827E+18,0.13991,0.074972357
678,1.4066,4.80091E+18,0.14066,0.075485589
679,1.3947,4.76732E+18,0.13947,0.074957365
680,1.3969,4.78187E+18,0.13969,0.075186171
681,1.3915,4.77039E+18,0.13915,0.075005664
682,1.3981,4.80005E+18,0.13981,0.075472085
683,1.383,4.75517E+18,0.1383,0.074766426
684,1.3739,4.7308E+18,0.13739,0.074383218
685,1.3748,4.74082E+18,0.13748,0.074540763
686,1.3438,4.64068E+18,0.13438,0.072966328
687,0.96824,3.3486E+18,0.096824,0.052650621
688,1.1206,3.88117E+18,0.11206,0.061024298
689,1.1278,3.91178E+18,0.11278,0.061505655
690,1.1821,4.10607E+18,0.11821,0.064560524
691,1.2333,4.29013E+18,0.12333,0.067454436
692,1.2689,4.42035E+18,0.12689,0.069501989
693,1.2609,4.39883E+18,0.12609,0.069163604
694,1.2464,4.35452E+18,0.12464,0.068466898
695,1.2714,4.44826E+18,0.12714,0.069940825
696,1.2684,4.44415E+18,0.12684,0.069876189
697,1.3403,4.70282E+18,0.13403,0.07394325
698,1.3192,4.63542E+18,0.13192,0.072883598
699,1.2918,4.54565E+18,0.12918,0.071472043
700,1.2823,4.51867E+18,0.12823,0.071047929
701,1.2659,4.46725E+18,0.12659,0.070239459
702,1.2674,4.47893E+18,0.12674,0.070423005
703,1.2747,4.51114E+18,0.12747,0.070929525
704,1.3078,4.63487E+18,0.13078,0.07287486
705,1.3214,4.68972E+18,0.13214,0.073737288
706,1.3144,4.67149E+18,0.13144,0.073450709
707,1.309,4.65889E+18,0.1309,0.073252559
708,1.3048,4.65051E+18,0.13048,0.073120802
709,1.3095,4.67385E+18,0.13095,0.073487839
710,1.3175,4.70904E+18,0.13175,0.074041074
711,1.3155,4.70851E+18,0.13155,0.074032803
712,1.3071,4.68503E+18,0.13071,0.073663533
713,1.2918,4.63669E+18,0.12918,0.072903529
714,1.3029,4.68309E+18,0.13029,0.073633091
715,1.2587,4.53056E+18,0.12587,0.071234768
716,1.2716,4.58339E+18,0.12716,0.072065479
717,1.1071,3.99604E+18,0.11071,0.062830389
718,1.0296,3.72149E+18,0.10296,0.058513586
719,0.92318,3.34148E+18,0.092318,0.052538663
720,0.9855,3.57201E+18,0.09855,0.056163332
721,1.0861,3.94211E+18,0.10861,0.061982461
722,1.2407,4.50949E+18,0.12407,0.070903507
723,1.1444,4.16523E+18,0.11444,0.065490738
724,1.0555,3.84698E+18,0.10555,0.060486791
725,1.038,3.78842E+18,0.1038,0.059566091
726,1.0813,3.9519E+18,0.10813,0.062136468
727,1.085,3.97089E+18,0.1085,0.062434967
728,1.04,3.81143E+18,0.104,0.059927817
729,1.0466,3.84089E+18,0.10466,0.060390969
730,1.1285,4.14713E+18,0.11285,0.06520609
731,1.0703,3.93864E+18,0.10703,0.061927941
732,1.1534,4.25025E+18,0.11534,0.066827431
733,1.1962,4.41399E+18,0.11962,0.069401924
734,1.2357,4.56596E+18,0.12357,0.07179147
735,1.2178,4.50595E+18,0.12178,0.070847911
736,1.2059,4.46799E+18,0.12059,0.070251055
737,1.2039,4.46664E+18,0.12039,0.070229834
738,1.2269,4.55815E+18,0.12269,0.071668657
739,1.1905,4.42891E+18,0.11905,0.069636603
740,1.2195,4.54294E+18,0.12195,0.071429443
741,1.2148,4.53155E+18,0.12148,0.071250305
742,1.2153,4.53953E+18,0.12153,0.071375825
743,1.2405,4.6399E+18,0.12405,0.072954036
744,1.2503,4.68285E+18,0.12503,0.07362934
745,1.2497,4.6869E+18,0.12497,0.073692923
746,1.247,4.68305E+18,0.1247,0.073632411
747,1.2477,4.69196E+18,0.12477,0.073772502
748,1.2401,4.66962E+18,0.12401,0.073421296
749,1.2357,4.65927E+18,0.12357,0.073258598
750,1.2341,4.65945E+18,0.12341,0.073261424
751,1.2286,4.64487E+18,0.12286,0.073032167
752,1.233,4.66771E+18,0.1233,0.073391313
753,1.2266,4.64966E+18,0.12266,0.073107457
754,1.242,4.71429E+18,0.1242,0.07412363
755,1.2383,4.70648E+18,0.12383,0.074000825
756,1.2232,4.65525E+18,0.12232,0.073195268
757,1.2221,4.65721E+18,0.12221,0.073226177
758,1.2295,4.6916E+18,0.12295,0.073766891
759,1.1945,4.56406E+18,0.11945,0.071761527
760,0.26604,1.01785E+18,0.026604,0.016003843
761,0.15396,5.89815E+17,0.015396,0.00927377
762,0.68766,2.63786E+18,0.068766,0.04147558
763,0.37952,1.45775E+18,0.037952,0.02292044
764,0.53878,2.07218E+18,0.053878,0.032581312
765,0.68601,2.64189E+18,0.068601,0.04153896
766,0.81461,3.14125E+18,0.081461,0.049390366
767,0.97417,3.76143E+18,0.097417,0.059141707
768,1.1138,4.30618E+18,0.11138,0.067706782
769,1.1278,4.36598E+18,0.11278,0.068647096
770,1.1608,4.49957E+18,0.11608,0.070747625
771,1.1686,4.53569E+18,0.11686,0.071315511
772,1.1778,4.57733E+18,0.11778,0.07197018
773,1.1771,4.58053E+18,0.11771,0.072020576
774,1.1771,4.58646E+18,0.11771,0.072113747
775,1.1771,4.59239E+18,0.11771,0.072206917
776,1.1798,4.60886E+18,0.11798,0.072465927
777,1.1727,4.58703E+18,0.11727,0.072122651
778,1.1713,4.58745E+18,0.11713,0.07212926
779,1.1765,4.61374E+18,0.11765,0.072542602
780,1.1636,4.569E+18,0.11636,0.071839294
781,1.1607,4.56346E+18,0.11607,0.071752123
782,1.1662,4.59096E+18,0.11662,0.07218443
783,1.1614,4.57791E+18,0.11614,0.071979251
784,1.1536,4.55297E+18,0.11536,0.071587146
785,1.1586,4.57853E+18,0.11586,0.071989129
786,1.1592,4.58674E+18,0.11592,0.072118163
787,1.145,4.53632E+18,0.1145,0.071325358
788,1.1305,4.48456E+18,0.11305,0.070511592
789,1.1257,4.47119E+18,0.11257,0.070301308
790,1.091,4.33886E+18,0.1091,0.068220607
791,1.1058,4.40328E+18,0.11058,0.069233583
792,1.0953,4.36698E+18,0.10953,0.068662879
793,1.0875,4.34136E+18,0.10875,0.068259985
794,1.0972,4.38561E+18,0.10972,0.068955679
795,1.0932,4.37512E+18,0.10932,0.068790821
796,1.0742,4.30449E+18,0.10742,0.06768025
797,1.0913,4.3785E+18,0.10913,0.068844019
798,1.1121,4.46756E+18,0.11121,0.0702442
799,1.0905,4.38627E+18,0.10905,0.068966183
800,1.0725,4.31927E+18,0.10725,0.067912705
801,1.0843,4.37225E+18,0.10843,0.068745728
802,1.0856,4.38296E+18,0.10856,0.068914077
803,1.0657,4.30798E+18,0.10657,0.067735174
804,1.0782,4.36394E+18,0.10782,0.068615007
805,1.0545,4.27332E+18,0.10545,0.067190242
806,1.0974,4.4527E+18,0.10974,0.07001059
807,1.0859,4.4115E+18,0.10859,0.069362878
808,1.0821,4.40151E+18,0.10821,0.069205801
809,1.0548,4.29578E+18,0.10548,0.067543316
810,1.0559,4.30557E+18,0.10559,0.067697331
811,1.0533,4.30028E+18,0.10533,0.067614007
812,1.0268,4.19725E+18,0.10268,0.065994179
813,1.0086,4.12793E+18,0.10086,0.064904267
814,0.90356,3.70258E+18,0.090356,0.058216372
815,0.89523,3.67295E+18,0.089523,0.05775053
816,0.83216,3.41838E+18,0.083216,0.053747805
817,0.85183,3.50347E+18,0.085183,0.055085681
818,0.82259,3.38735E+18,0.082259,0.053259915
819,0.90519,3.73205E+18,0.090519,0.058679633
820,0.86188,3.55782E+18,0.086188,0.055940249
821,0.99764,4.12326E+18,0.099764,0.064830706
822,0.95157,3.93764E+18,0.095157,0.061912209
823,0.67271,2.78709E+18,0.067271,0.043821926
824,0.93506,3.87873E+18,0.093506,0.060986039
825,0.96935,4.02585E+18,0.096935,0.063299212
826,0.93381,3.88295E+18,0.093381,0.061052339
827,0.98465,4.09931E+18,0.098465,0.064454187
828,0.84979,3.54214E+18,0.084979,0.055693651
829,0.9293,3.87823E+18,0.09293,0.060978145
830,0.91601,3.82738E+18,0.091601,0.060178595
831,0.92392,3.86508E+18,0.092392,0.060771385
832,0.89426,3.74551E+18,0.089426,0.058891263
833,0.9565,4.01101E+18,0.09565,0.063065772
834,0.93412,3.92186E+18,0.093412,0.061664109
835,1.0032,4.21694E+18,0.10032,0.066303696
836,0.97234,4.09211E+18,0.097234,0.064341054
837,1.0092,4.25232E+18,0.10092,0.06686001
838,0.99901,4.21441E+18,0.099901,0.066263992
839,1.0013,4.22911E+18,0.10013,0.066495142
840,1.0157,4.29505E+18,0.10157,0.067531824
841,1.0101,4.27645E+18,0.10101,0.067239443
842,0.99703,4.22614E+18,0.099703,0.066448328
843,1.0053,4.26625E+18,0.10053,0.067079064
844,0.98631,4.19063E+18,0.098631,0.065890017
845,1.0165,4.32402E+18,0.10165,0.067987306
846,1.0187,4.3385E+18,0.10187,0.068215082
847,0.9917,4.22851E+18,0.09917,0.06648558
848,0.99217,4.23551E+18,0.099217,0.066595622
849,0.98596,4.21396E+18,0.098596,0.066256841
850,0.89372,3.82423E+18,0.089372,0.060129022
851,0.97493,4.17663E+18,0.097493,0.065669957
852,0.96927,4.15726E+18,0.096927,0.065365427
853,0.96486,4.14321E+18,0.096486,0.065144398
854,0.85112,3.65908E+18,0.085112,0.057532389
855,0.913,3.92971E+18,0.0913,0.061787501
856,0.97317,4.19359E+18,0.097317,0.065936549
857,0.99166,4.27826E+18,0.099166,0.06726782
858,0.99196,4.28455E+18,0.099196,0.067366686
859,0.99171,4.28846E+18,0.099171,0.067428204
860,0.98816,4.27808E+18,0.098816,0.067265049
861,0.98679,4.27712E+18,0.098679,0.067249898
862,0.99449,4.3155E+18,0.099449,0.06785337
863,1.0005,4.34662E+18,0.10005,0.068342621
864,0.97916,4.25883E+18,0.097916,0.066962421
865,0.96324,4.19444E+18,0.096324,0.065949932
866,0.849,3.70125E+18,0.0849,0.058195489
867,0.91546,3.9956E+18,0.091546,0.062823512
868,0.9592,4.19133E+18,0.09592,0.065901095
869,0.94956,4.15399E+18,0.094956,0.065313947
870,0.96755,4.23756E+18,0.096755,0.066627943
871,0.95387,4.18245E+18,0.095387,0.065761405
872,0.96686,4.24427E+18,0.096686,0.066733487
873,0.95721,4.20673E+18,0.095721,0.066143201
874,0.94042,4.13768E+18,0.094042,0.065057449
875,0.92687,4.08273E+18,0.092687,0.064193435
876,0.95277,4.20161E+18,0.095277,0.066062639
877,0.95615,4.22133E+18,0.095615,0.066372681
878,0.95237,4.20943E+18,0.095237,0.066185669
879,0.93656,4.14427E+18,0.093656,0.065161072
880,0.93957,4.16232E+18,0.093957,0.065444861
881,0.90861,4.02974E+18,0.090861,0.06336029
882,0.93245,4.14016E+18,0.093245,0.065096536
883,0.92927,4.13072E+18,0.092927,0.064948086
884,0.93305,4.15222E+18,0.093305,0.065286129
885,0.94423,4.20673E+18,0.094423,0.066143139
886,0.90752,4.04775E+18,0.090752,0.063643443
887,0.91062,4.06616E+18,0.091062,0.06393292
888,0.92228,4.12286E+18,0.092228,0.064824548
889,0.93455,4.18242E+18,0.093455,0.065760944
890,0.92393,4.13954E+18,0.092393,0.065086784
891,0.92584,4.15276E+18,0.092584,0.065294618
892,0.90881,4.08095E+18,0.090881,0.064165516
893,0.87327,3.92576E+18,0.087327,0.061725375
894,0.8513,3.83128E+18,0.08513,0.060239851
895,0.81357,3.66557E+18,0.081357,0.05763439
896,0.76253,3.43944E+18,0.076253,0.054079004
897,0.66566,3.00586E+18,0.066566,0.047261624
898,0.7178,3.24491E+18,0.07178,0.051020361
899,0.54871,2.48328E+18,0.054871,0.039045079
900,0.7426,3.3645E+18,0.07426,0.052900672
901,0.59933,2.7184E+18,0.059933,0.042741971
902,0.66791,3.03283E+18,0.066791,0.047685707
903,0.68889,3.13156E+18,0.068889,0.049238109
904,0.84457,3.8435E+18,0.084457,0.060432119
905,0.81709,3.72256E+18,0.081709,0.058530497
906,0.77558,3.53735E+18,0.077558,0.055618406
907,0.63854,2.91554E+18,0.063854,0.045841533
908,0.65217,2.98105E+18,0.065217,0.046871668
909,0.70431,3.22293E+18,0.070431,0.050674734
910,0.62467,2.86164E+18,0.062467,0.044994122
911,0.66808,3.06387E+18,0.066808,0.048173765
912,0.68893,3.16296E+18,0.068893,0.049731742
913,0.62834,2.88794E+18,0.062834,0.045407671
914,0.62649,2.8826E+18,0.062649,0.045323567
915,0.67836,3.12467E+18,0.067836,0.049129808
916,0.57646,2.6582E+18,0.057646,0.041795391
917,0.73017,3.37067E+18,0.073017,0.052997705
918,0.59271,2.7391E+18,0.059271,0.043067402
919,0.73877,3.41781E+18,0.073877,0.053738866
920,0.74414,3.4464E+18,0.074414,0.054188386
921,0.78049,3.61868E+18,0.078049,0.056897176
922,0.70026,3.25023E+18,0.070026,0.051103892
923,0.74504,3.46182E+18,0.074504,0.054430839
924,0.7215,3.35607E+18,0.07215,0.052768171
925,0.7111,3.31128E+18,0.07111,0.052063834
926,0.70331,3.27854E+18,0.070331,0.051549151
927,0.78742,3.6746E+18,0.078742,0.057776325
928,0.58968,2.75478E+18,0.058968,0.043313982
929,0.55127,2.57812E+18,0.055127,0.040536273
930,0.4321,2.02298E+18,0.04321,0.031807604
931,0.40921,1.91787E+18,0.040921,0.030155023
932,0.30086,1.41157E+18,0.030086,0.022194435
933,0.24841,1.16674E+18,0.024841,0.018344862
934,0.1438,6.76128E+17,0.01438,0.010630887
935,0.25084,1.18068E+18,0.025084,0.018564025
936,0.16142,7.606E+17,0.016142,0.011959057
937,0.16338,7.70658E+17,0.016338,0.012117198
938,0.20058,9.47139E+17,0.020058,0.01489204
939,0.39887,1.88547E+18,0.039887,0.029645631
940,0.47181,2.23264E+18,0.047181,0.035104172
941,0.37195,1.76197E+18,0.037195,0.02770371
942,0.40532,1.92208E+18,0.040532,0.030221268
943,0.27834,1.32133E+18,0.027834,0.020775479
944,0.28579,1.35813E+18,0.028579,0.021354173
945,0.36821,1.75166E+18,0.036821,0.027541724
946,0.19461,9.26786E+17,0.019461,0.014572029
947,0.37112,1.76924E+18,0.037112,0.027818139
948,0.27423,1.30872E+18,0.027423,0.020577236
949,0.49396,2.35983E+18,0.049396,0.037104086
950,0.14726,7.04258E+17,0.014726,0.011073174
951,0.48378,2.31607E+18,0.048378,0.036415994
952,0.26891,1.28875E+18,0.026891,0.020263182
953,0.34362,1.64852E+18,0.034362,0.025920005
954,0.42411,2.03681E+18,0.042411,0.03202511
955,0.34117,1.6402E+18,0.034117,0.025789204
956,0.32821,1.57955E+18,0.032821,0.02483553
957,0.27067,1.30399E+18,0.027067,0.020502924
958,0.46101,2.22331E+18,0.046101,0.034957438
959,0.37385,1.80484E+18,0.037385,0.028377866
960,0.42066,2.03295E+18,0.042066,0.031964373
961,0.4612,2.23119E+18,0.04612,0.03508136
962,0.44174,2.13927E+18,0.044174,0.033636092
963,0.50503,2.44831E+18,0.050503,0.038495255
964,0.4586,2.22553E+18,0.04586,0.034992488
965,0.50374,2.44713E+18,0.050374,0.038476671
966,0.50275,2.44485E+18,0.050275,0.038440847
967,0.5024,2.44568E+18,0.05024,0.038453851
968,0.6521,3.1777E+18,0.06521,0.049963551
969,0.68622,3.34742E+18,0.068622,0.052632123
970,0.63461,3.09886E+18,0.063461,0.048723938
971,0.71397,3.48998E+18,0.071397,0.054873534
972,0.68765,3.36478E+18,0.068765,0.052905089
973,0.60648,2.97066E+18,0.060648,0.046708193
974,0.57529,2.82078E+18,0.057529,0.044351623
975,0.58987,2.89524E+18,0.058987,0.045522349
976,0.57191,2.80996E+18,0.057191,0.04418158
977,0.63864,3.14104E+18,0.063864,0.049387202
978,0.61509,3.02831E+18,0.061509,0.047614723
979,0.63815,3.14506E+18,0.063815,0.049450331
980,0.60468,2.98315E+18,0.060468,0.046904598
981,0.71338,3.523E+18,0.071338,0.055392846
982,0.69218,3.42179E+18,0.069218,0.053801486
983,0.66865,3.30884E+18,0.066865,0.052025481
984,0.73732,3.65237E+18,0.073732,0.057426831
985,0.68817,3.41236E+18,0.068817,0.053653209
986,0.75083,3.72685E+18,0.075083,0.058597929
987,0.73928,3.67324E+18,0.073928,0.057755035
988,0.73462,3.65379E+18,0.073462,0.057449127
989,0.74906,3.72938E+18,0.074906,0.058637661
990,0.73227,3.64947E+18,0.073227,0.057381273
991,0.75358,3.75947E+18,0.075358,0.059110789
992,0.75102,3.75048E+18,0.075102,0.058969428
993,0.73728,3.68557E+18,0.073728,0.057948933
994,0.7541,3.77345E+18,0.07541,0.059330644
995,0.75176,3.76553E+18,0.075176,0.059206043
996,0.74884,3.75467E+18,0.074884,0.059035346
997,0.73971,3.71262E+18,0.073971,0.058374125
998,0.73887,3.71212E+18,0.073887,0.05836632
999,0.73857,3.71433E+18,0.073857,0.058401082
1000,0.73532,3.70169E+18,0.073532,0.058202296
1001,0.74442,3.75124E+18,0.074442,0.058981505
1002,0.72805,3.67242E+18,0.072805,0.057742112
1003,0.73442,3.70825E+18,0.073442,0.058305452
1004,0.72336,3.65604E+18,0.072336,0.057484657
1005,0.68174,3.44912E+18,0.068174,0.05423112
1006,0.71252,3.60843E+18,0.071252,0.056736008
1007,0.72753,3.68811E+18,0.072753,0.057988799
1008,0.72685,3.68832E+18,0.072685,0.057992131
1009,0.71972,3.65576E+18,0.071972,0.057480227
1010,0.71914,3.65644E+18,0.071914,0.057490827
1011,0.72278,3.67858E+18,0.072278,0.057839033
1012,0.71877,3.66179E+18,0.071877,0.057575033
1013,0.71761,3.6595E+18,0.071761,0.057538915
1014,0.72068,3.67878E+18,0.072068,0.057842115
1015,0.70817,3.61849E+18,0.070817,0.05689411
1016,0.71129,3.63801E+18,0.071129,0.05720107
1017,0.70337,3.60104E+18,0.070337,0.056619826
1018,0.71422,3.66019E+18,0.071422,0.057549761
1019,0.68878,3.53328E+18,0.068878,0.055554399
1020,0.69896,3.58902E+18,0.069896,0.056430803
1021,0.70175,3.60688E+18,0.070175,0.0567116
1022,0.6897,3.54842E+18,0.06897,0.055792376
1023,0.69508,3.57959E+18,0.069508,0.056282602
1024,0.69058,3.5599E+18,0.069058,0.055972885
1025,0.69753,3.59923E+18,0.069753,0.056591407
1026,0.69636,3.5967E+18,0.069636,0.056551603
1027,0.69305,3.58309E+18,0.069305,0.056337653
1028,0.69385,3.59072E+18,0.069385,0.056457604
1029,0.68628,3.555E+18,0.068628,0.055895965
1030,0.69055,3.5806E+18,0.069055,0.056298405
1031,0.68736,3.56752E+18,0.068736,0.056092741
1032,0.68787,3.57363E+18,0.068787,0.056188806
1033,0.67613,3.51604E+18,0.067613,0.055283339
1034,0.68015,3.54037E+18,0.068015,0.055665867
1035,0.68234,3.5552E+18,0.068234,0.055899113
1036,0.68202,3.55697E+18,0.068202,0.055926882
1037,0.67497,3.5236E+18,0.067497,0.055402194
1038,0.67172,3.51001E+18,0.067172,0.055188599
1039,0.67636,3.53767E+18,0.067636,0.055623358
1040,0.6717,3.51667E+18,0.06717,0.055293289
1041,0.67176,3.52037E+18,0.067176,0.0553514
1042,0.672,3.52501E+18,0.0672,0.055424366
1043,0.66525,3.49295E+18,0.066525,0.054920304
1044,0.66833,3.51249E+18,0.066833,0.055227476
1045,0.66452,3.49581E+18,0.066452,0.054965235
1046,0.64714,3.40764E+18,0.064714,0.053578885
1047,0.65694,3.46255E+18,0.065694,0.054442258
1048,0.66274,3.49645E+18,0.066274,0.054975376
1049,0.65896,3.47983E+18,0.065896,0.054713977
1050,0.65463,3.46026E+18,0.065463,0.054406269
1051,0.65521,3.46662E+18,0.065521,0.054506334
1052,0.65118,3.44858E+18,0.065118,0.054222624
1053,0.64919,3.44131E+18,0.064919,0.054108305
1054,0.64646,3.43009E+18,0.064646,0.053931936
1055,0.64847,3.44402E+18,0.064847,0.054150951
1056,0.64641,3.43633E+18,0.064641,0.054030094
1057,0.64482,3.43113E+18,0.064482,0.053948233
1058,0.63818,3.39901E+18,0.063818,0.053443217
1059,0.61875,3.29864E+18,0.061875,0.051865063
1060,0.63585,3.393E+18,0.063585,0.053348754
1061,0.62121,3.31801E+18,0.062121,0.052169606
1062,0.63266,3.38235E+18,0.063266,0.053181261
1063,0.62239,3.33057E+18,0.062239,0.052367231
1064,0.63196,3.38497E+18,0.063196,0.053222462
1065,0.62913,3.37298E+18,0.062913,0.053033921
1066,0.61713,3.31175E+18,0.061713,0.052071202
1067,0.62032,3.33199E+18,0.062032,0.052389462
1068,0.61944,3.33038E+18,0.061944,0.052364172
1069,0.58626,3.15494E+18,0.058626,0.049605714
1070,0.60469,3.25717E+18,0.060469,0.05121301
1071,0.61661,3.32448E+18,0.061661,0.052271357
1072,0.61536,3.32084E+18,0.061536,0.052214099
1073,0.60363,3.26057E+18,0.060363,0.051266572
1074,0.62158,3.36066E+18,0.062158,0.052840273
1075,0.59252,3.20653E+18,0.059252,0.050416793
1076,0.61471,3.32971E+18,0.061471,0.052353568
1077,0.60434,3.27658E+18,0.060434,0.051518212
1078,0.60321,3.27349E+18,0.060321,0.051469628
1079,0.60474,3.28483E+18,0.060474,0.051648044
1080,0.59722,3.24699E+18,0.059722,0.051053067
1081,0.58083,3.16081E+18,0.058083,0.04969795
1082,0.5894,3.21041E+18,0.05894,0.050477883
1083,0.59814,3.26103E+18,0.059814,0.051273745
1084,0.57852,3.15697E+18,0.057852,0.049637671
1085,0.5933,3.24061E+18,0.05933,0.050952773
1086,0.5541,3.02929E+18,0.05541,0.047630124
1087,0.56697,3.10251E+18,0.056697,0.048781299
1088,0.59317,3.24886E+18,0.059317,0.051082461
1089,0.57919,3.17521E+18,0.057919,0.049924379
1090,0.55573,3.04939E+18,0.055573,0.047946187
1091,0.58835,3.23135E+18,0.058835,0.050807081
1092,0.58124,3.19522E+18,0.058124,0.050239102
1093,0.51058,2.80936E+18,0.051058,0.044172065
1094,0.53965,2.97203E+18,0.053965,0.046729727
1095,0.52067,2.87012E+18,0.052067,0.04512741
1096,0.50323,2.77652E+18,0.050323,0.043655686
1097,0.57852,3.19483E+18,0.057852,0.050232957
1098,0.50291,2.77982E+18,0.050291,0.043707539
1099,0.50772,2.80896E+18,0.050772,0.044165759
1100,0.48577,2.68997E+18,0.048577,0.042294813
1101,0.49696,2.75443E+18,0.049696,0.043308435
1102,0.46883,2.60088E+18,0.046883,0.040894107
1103,0.46637,2.58958E+18,0.046637,0.040716445
1104,0.46765,2.59904E+18,0.046765,0.040865211
1105,0.50644,2.81717E+18,0.050644,0.04429493
1106,0.39792,2.21551E+18,0.039792,0.034834905
1107,0.48304,2.69187E+18,0.048304,0.042324755
1108,0.41565,2.31841E+18,0.041565,0.036452833
1109,0.41278,2.30448E+18,0.041278,0.036233804
1110,0.47899,2.67653E+18,0.047899,0.042083627
1111,0.33154,1.85427E+18,0.033154,0.029155046
1112,0.41357,2.31514E+18,0.041357,0.036401355
1113,0.2685,1.5044E+18,0.02685,0.023653924
1114,0.29985,1.68156E+18,0.029985,0.026439484
1115,0.24987,1.40253E+18,0.024987,0.022052241
1116,0.20136,1.13126E+18,0.020136,0.017786936
1117,0.079618,4.47701E+17,0.0079618,0.007039279
1118,0.21753,1.22429E+18,0.021753,0.019249733
1119,0.11317,6.37507E+17,0.011317,0.010023633
1120,0.14189,8.00006E+17,0.014189,0.012578636
1121,0.18586,1.04885E+18,0.018586,0.016491315
1122,0.081686,4.61385E+17,0.0081686,0.007254446
1123,0.12817,7.24585E+17,0.012817,0.011392784
1124,0.1087,6.15062E+17,0.01087,0.009670737
1125,0.14428,8.17113E+17,0.014428,0.012847611
1126,0.051589,2.92428E+17,0.0051589,0.004597897
1127,0.15725,8.9215E+17,0.015725,0.014027436
1128,0.099224,5.63442E+17,0.0099224,0.008859099
1129,0.10591,6.01941E+17,0.010591,0.009464434
1130,0.070574,4.01464E+17,0.0070574,0.00631229
1131,0.2956,1.68302E+18,0.02956,0.026462494
1132,0.23411,1.3341E+18,0.023411,0.02097636
1133,0.15331,8.74427E+17,0.015331,0.013748779
1134,0.04174,2.38281E+17,0.004174,0.00374653
1135,0.015462,8.83456E+16,0.0015462,0.001389074
1136,0.12876,7.36347E+17,0.012876,0.01157772
1137,0.28785,1.64759E+18,0.028785,0.025905408
1138,0.20329,1.16461E+18,0.020329,0.01831142
1139,0.2985,1.71156E+18,0.02985,0.026911122
1140,0.25599,1.4691E+18,0.025599,0.023098916
1141,0.19337,1.1107E+18,0.019337,0.017463789
1142,0.22479,1.29231E+18,0.022479,0.020319211
1143,0.31183,1.79427E+18,0.031183,0.02821161
1144,0.11326,6.52268E+17,0.011326,0.010255724
1145,0.14604,8.41784E+17,0.014604,0.013235521
1146,0.15764,9.09441E+17,0.015764,0.0142993
1147,0.059176,3.4169E+17,0.0059176,0.005372455
1148,0.27113,1.56691E+18,0.027113,0.024636738
1149,0.21854,1.26408E+18,0.021854,0.019875346
1150,0.12164,7.04202E+17,0.012164,0.011072304
1151,0.2034,1.17855E+18,0.02034,0.018530623
1152,0.24762,1.43602E+18,0.024762,0.022578856
1153,0.23812,1.38213E+18,0.023812,0.021731461
1154,0.14248,8.27719E+17,0.014248,0.013014379
1155,0.31316,1.82084E+18,0.031316,0.028629384
1156,0.2809,1.63468E+18,0.02809,0.025702378
1157,0.31458,1.83226E+18,0.031458,0.028809001
1158,0.31171,1.81712E+18,0.031171,0.028570842
1159,0.33693,1.96583E+18,0.033693,0.030909135
1160,0.28648,1.67292E+18,0.028648,0.026303651
1161,0.34753,2.03118E+18,0.034753,0.031936569
1162,0.35002,2.04749E+18,0.035002,0.032193095
1163,0.46857,2.74333E+18,0.046857,0.043133821
1164,0.40188,2.3549E+18,0.040188,0.037026538
1165,0.3886,2.27904E+18,0.03886,0.035833767
1166,0.37494,2.20082E+18,0.037494,0.034603822
1167,0.40996,2.40844E+18,0.040996,0.037868324
1168,0.41954,2.46683E+18,0.041954,0.038786443
1169,0.4231,2.48989E+18,0.04231,0.039149054
1170,0.45873,2.70188E+18,0.045873,0.042482175
1171,0.44831,2.64277E+18,0.044831,0.041552682
1172,0.45483,2.68349E+18,0.045483,0.042193005
1173,0.45642,2.69517E+18,0.045642,0.04237663
1174,0.33692,1.99122E+18,0.033692,0.031308238
1175,0.4524,2.67599E+18,0.04524,0.042075007
1176,0.47679,2.82265E+18,0.047679,0.044381114
1177,0.47235,2.79875E+18,0.047235,0.044005212
1178,0.36,2.13487E+18,0.036,0.033566923
1179,0.48371,2.87093E+18,0.048371,0.04514011
1180,0.44069,2.61781E+18,0.044069,0.041160339
1181,0.45514,2.70594E+18,0.045514,0.042545991
1182,0.32318,1.92303E+18,0.032318,0.030236094
1183,0.4387,2.61262E+18,0.04387,0.041078646
1184,0.41985,2.50247E+18,0.041985,0.039346816
1185,0.40741,2.43038E+18,0.040741,0.038213232
1186,0.47715,2.84881E+18,0.047715,0.044792299
1187,0.45575,2.72333E+18,0.045575,0.042819455
1188,0.33504,2.00372E+18,0.033504,0.031504808
1189,0.41569,2.48814E+18,0.041569,0.03912147
1190,0.46239,2.76999E+18,0.046239,0.043553106
1191,0.4466,2.67765E+18,0.04466,0.042101175
1192,0.47336,2.84048E+18,0.047336,0.04466132
1193,0.45434,2.72863E+18,0.045434,0.042902753
1194,0.4689,2.81843E+18,0.04689,0.044314749
1195,0.44696,2.68881E+18,0.044696,0.042276624
1196,0.43131,2.59683E+18,0.043131,0.040830476
1197,0.47715,2.87523E+18,0.047715,0.045207742
1198,0.43392,2.61692E+18,0.043392,0.041146247
