wl.nm,irrad.W_m2_nm,flux.photon_m2_nm_s,irrad.mW_cm2_nm,flux.mA_cm2_nm
333,0.42944,7.19896E+17,0.042944,0.011319063
333.5,0.40724,6.83706E+17,0.040724,0.010750038
334,0.41497,6.97729E+17,0.041497,0.010970512
334.5,0.44509,7.49492E+17,0.044509,0.011784406
335,0.46388,7.82301E+17,0.046388,0.012300257
335.5,0.45313,7.65312E+17,0.045313,0.012033143
336,0.41519,7.02279E+17,0.041519,0.011042055
336.5,0.38214,6.47338E+17,0.038214,0.010178208
337,0.3738,6.34151E+17,0.03738,0.009970867
337.5,0.40051,6.80472E+17,0.040051,0.01069919
338,0.43411,7.38652E+17,0.043411,0.011613957
338.5,0.45527,7.75802E+17,0.045527,0.012198079
339,0.46355,7.91079E+17,0.046355,0.012438271
339.5,0.47446,8.10891E+17,0.047446,0.012749793
340,0.5018,8.58881E+17,0.05018,0.013504338
340.5,0.50071,8.58275E+17,0.050071,0.013494821
341,0.47139,8.09204E+17,0.047139,0.012723262
341.5,0.46935,8.06884E+17,0.046935,0.012686776
342,0.48934,8.42481E+17,0.048934,0.013246482
342.5,0.50767,8.75317E+17,0.050767,0.013762769
343,0.51489,8.89062E+17,0.051489,0.013978878
343.5,0.48609,8.40556E+17,0.048609,0.013216217
344,0.41843,7.2461E+17,0.041843,0.011393181
344.5,0.40307,6.99025E+17,0.040307,0.010990905
345,0.45898,7.97143E+17,0.045898,0.012533622
345.5,0.48932,8.51068E+17,0.048932,0.013381499
346,0.47778,8.32199E+17,0.047778,0.013084822
346.5,0.48657,8.48735E+17,0.048657,0.013344807
347,0.49404,8.63008E+17,0.049404,0.013569234
347.5,0.47674,8.33988E+17,0.047674,0.013112942
348,0.47511,8.32332E+17,0.047511,0.013086911
348.5,0.48336,8.48002E+17,0.048336,0.013333287
349,0.46564,8.18086E+17,0.046564,0.012862916
349.5,0.47805,8.41093E+17,0.047805,0.013224652
350,0.52798,9.3027E+17,0.052798,0.014626798
350.5,0.56741,1.00117E+18,0.056741,0.015741595
351,0.55172,9.74875E+17,0.055172,0.015328144
351.5,0.53022,9.3822E+17,0.053022,0.014751805
352,0.51791,9.17741E+17,0.051791,0.014429813
352.5,0.48962,8.68844E+17,0.048962,0.013660985
353,0.5204,9.24773E+17,0.05204,0.014540379
353.5,0.57228,1.01841E+18,0.057228,0.016012595
354,0.60498,1.07812E+18,0.060498,0.016951495
354.5,0.61156,1.09139E+18,0.061156,0.01716007
355,0.6114,1.09264E+18,0.06114,0.017179777
355.5,0.59028,1.05638E+18,0.059028,0.016609686
356,0.55387,9.92616E+17,0.055387,0.015607077
356.5,0.51942,9.32184E+17,0.051942,0.014656894
357,0.45673,8.20826E+17,0.045673,0.012905995
357.5,0.46215,8.3173E+17,0.046215,0.01307744
358,0.43006,7.7506E+17,0.043006,0.012186411
358.5,0.39926,7.20557E+17,0.039926,0.011329447
359,0.46953,8.48557E+17,0.046953,0.013342018
359.5,0.56549,1.0234E+18,0.056549,0.016091168
360,0.59817,1.08405E+18,0.059817,0.017044759
360.5,0.56531,1.02592E+18,0.056531,0.016130791
361,0.52024,9.45441E+17,0.052024,0.014865334
361.5,0.50956,9.27314E+17,0.050956,0.014580331
362,0.5342,9.735E+17,0.05342,0.01530651
362.5,0.5851,1.06773E+18,0.05851,0.016788112
363,0.60191,1.09992E+18,0.060191,0.017294258
363.5,0.58541,1.07124E+18,0.058541,0.016843343
364,0.60628,1.11096E+18,0.060628,0.017467806
364.5,0.60058,1.10203E+18,0.060058,0.01732735
365,0.62359,1.14582E+18,0.062359,0.018015891
365.5,0.68628,1.26273E+18,0.068628,0.019854203
366,0.73532,1.35482E+18,0.073532,0.02130204
366.5,0.73658,1.35899E+18,0.073658,0.021367693
367,0.72285,1.33548E+18,0.072285,0.020998003
367.5,0.70914,1.31194E+18,0.070914,0.020627807
368,0.66759,1.23675E+18,0.066759,0.019445601
368.5,0.6631,1.2301E+18,0.06631,0.019341059
369,0.69315,1.28759E+18,0.069315,0.020244979
369.5,0.74469,1.3852E+18,0.074469,0.021779791
370,0.75507,1.40641E+18,0.075507,0.022113255
370.5,0.68261,1.27316E+18,0.068261,0.02001818
371,0.69338,1.295E+18,0.069338,0.020361462
371.5,0.72051,1.34748E+18,0.072051,0.021186664
372,0.67444,1.26302E+18,0.067444,0.019858663
372.5,0.64253,1.20488E+18,0.064253,0.018944512
373,0.61886,1.16205E+18,0.061886,0.018271112
373.5,0.55786,1.04891E+18,0.055786,0.016492237
374,0.5564,1.04757E+18,0.05564,0.016471095
374.5,0.55227,1.04118E+18,0.055227,0.016370691
375,0.5893,1.11248E+18,0.05893,0.017491677
375.5,0.65162,1.23176E+18,0.065162,0.019367256
376,0.6748,1.27728E+18,0.06748,0.020082911
376.5,0.6639,1.25832E+18,0.06639,0.019784787
377,0.71225,1.35175E+18,0.071225,0.021253847
377.5,0.79455,1.50995E+18,0.079455,0.02374116
378,0.85595,1.62878E+18,0.085595,0.025609667
378.5,0.83418,1.58946E+18,0.083418,0.024991332
379,0.74389,1.41929E+18,0.074389,0.022315759
379.5,0.66683,1.27394E+18,0.066683,0.020030447
380,0.70077,1.34055E+18,0.070077,0.021077681
380.5,0.75075,1.43805E+18,0.075075,0.022610686
381,0.76383,1.46502E+18,0.076383,0.023034852
381.5,0.68837,1.32203E+18,0.068837,0.020786445
382,0.58678,1.1284E+18,0.058678,0.017741993
382.5,0.50762,9.77448E+17,0.050762,0.015368586
383,0.45499,8.77251E+17,0.045499,0.013793179
383.5,0.44049,8.50403E+17,0.044049,0.013371039
384,0.50968,9.85263E+17,0.050968,0.015491467
384.5,0.61359,1.18768E+18,0.061359,0.018674043
385,0.67355,1.30543E+18,0.067355,0.020525527
385.5,0.64363,1.24906E+18,0.064363,0.019639227
386,0.621,1.20671E+18,0.0621,0.01897329
386.5,0.6457,1.25633E+18,0.06457,0.019753498
387,0.65147,1.2692E+18,0.065147,0.019955799
387.5,0.64204,1.25244E+18,0.064204,0.019692349
388,0.63582,1.24191E+18,0.063582,0.019526736
388.5,0.63136,1.23479E+18,0.063136,0.019414751
389,0.68543,1.34226E+18,0.068543,0.021104567
389.5,0.7597,1.48961E+18,0.07597,0.023421426
390,0.79699,1.56473E+18,0.079699,0.024602612
390.5,0.80371,1.57995E+18,0.080371,0.024841862
391,0.85138,1.67581E+18,0.085138,0.026348988
391.5,0.86344,1.70172E+18,0.086344,0.026756399
392,0.79493,1.56869E+18,0.079493,0.024664862
392.5,0.66257,1.30917E+18,0.066257,0.020584256
393,0.47975,9.49141E+17,0.047975,0.01492352
393.5,0.38152,7.55763E+17,0.038152,0.011882991
394,0.49567,9.83133E+17,0.049567,0.015457975
394.5,0.68385,1.3581E+18,0.068385,0.021353624
395,0.80772,1.60613E+18,0.080772,0.025253505
395.5,0.86038,1.71301E+18,0.086038,0.02693398
396,0.75655,1.50819E+18,0.075655,0.023713549
396.5,0.55017,1.09815E+18,0.055017,0.017266481
397,0.42619,8.5176E+17,0.042619,0.013392372
397.5,0.62945,1.25957E+18,0.062945,0.019804419
398,0.85249,1.70803E+18,0.085249,0.026855677
398.5,1.0069,2.01994E+18,0.10069,0.031759847
399,1.0693,2.14781E+18,0.10693,0.0337704
399.5,1.1021,2.21647E+18,0.11021,0.034849899
400,1.1141,2.2434E+18,0.11141,0.035273447
401,1.1603,2.34228E+18,0.11603,0.036828023
402,1.2061,2.4408E+18,0.12061,0.038377184
403,1.1613,2.35599E+18,0.11613,0.037043602
404,1.1801,2.40007E+18,0.11801,0.0377367
405,1.1511,2.34688E+18,0.11511,0.036900463
406,1.1227,2.29463E+18,0.11227,0.036078917
407,1.1026,2.2591E+18,0.11026,0.03552026
408,1.1514,2.36488E+18,0.11514,0.037183488
409,1.2299,2.53231E+18,0.12299,0.039815929
410,1.0485,2.16409E+18,0.10485,0.034026402
411,1.1738,2.42862E+18,0.11738,0.038185604
412,1.2478,2.58801E+18,0.12478,0.04069171
413,1.1971,2.48888E+18,0.11971,0.039133097
414,1.1842,2.46802E+18,0.11842,0.038805129
415,1.2258,2.56089E+18,0.12258,0.040265348
416,1.2624,2.64371E+18,0.12624,0.041567514
417,1.2312,2.58457E+18,0.12312,0.040637633
418,1.1777,2.47819E+18,0.11777,0.038965001
419,1.2258,2.58557E+18,0.12258,0.040653447
420,1.1232,2.37481E+18,0.11232,0.03733964
421,1.2757,2.70367E+18,0.12757,0.042510322
422,1.2583,2.67313E+18,0.12583,0.042030096
423,1.2184,2.5945E+18,0.12184,0.040793784
424,1.2117,2.58633E+18,0.12117,0.040665368
425,1.2488,2.67181E+18,0.12488,0.042009311
426,1.2135,2.60239E+18,0.12135,0.040917879
427,1.1724,2.52015E+18,0.11724,0.039624831
428,1.1839,2.55083E+18,0.11839,0.040107217
429,1.0963,2.36761E+18,0.10963,0.037226349
430,0.87462,1.89326E+18,0.087462,0.029768133
431,0.79394,1.72262E+18,0.079394,0.027084991
432,1.3207,2.87218E+18,0.13207,0.045159764
433,1.2288,2.6785E+18,0.12288,0.042114615
434,1.1352,2.48019E+18,0.11352,0.03899652
435,1.2452,2.72679E+18,0.12452,0.042873813
436,1.3659,2.99798E+18,0.13659,0.047137781
437,1.3943,3.06733E+18,0.13943,0.048228239
438,1.2238,2.69841E+18,0.12238,0.042427584
439,1.1775,2.60225E+18,0.11775,0.040915624
440,1.3499,2.99004E+18,0.13499,0.047013005
